Datum,AantalCumulatief
2020-02-27,1.009833
2020-02-28,2.009833
2020-02-29,7.029498
2020-03-01,10.049163
2020-03-02,10.049163
2020-03-03,24.117992
2020-03-04,37.167155
2020-03-05,77.235983
2020-03-06,124.314644
2020-03-07,184.501464
2020-03-08,263.825941
2020-03-09,319.170083
2020-03-10,378.376569
2020-03-11,491.8682
2020-03-12,596.310669
2020-03-13,771.146442
2020-03-14,917.51025
2020-03-15,1072.874057
2020-03-16,1340.778659
2020-03-17,1631.4571110000002
2020-03-18,1964.273219
2020-03-19,2369.236817
2020-03-20,3530.527821
2020-03-21,3530.930959
2020-03-22,4090.926983
2020-03-23,4616.362547000001
2020-03-24,5421.9554339999995
2020-03-25,6263.617149
2020-03-26,7267.691834
2020-03-27,8423.533465
2020-03-28,9588.814634999999
2020-03-29,10675.154802000001
2020-03-30,11559.944341
2020-03-31,12406.537227
2020-04-01,13429.982624
2020-04-02,14511.949151
2020-04-03,15532.414213
2020-04-04,16424.466305
2020-04-05,17624.137852
2020-04-06,18576.878228
2020-04-07,19348.215466
2020-04-08,20317.867348
2020-04-09,21510.647055
2020-04-10,22832.90856
2020-04-11,24089.294961
2020-04-12,25236.458140000002
2020-04-13,26196.598726
2020-04-14,27076.093286
2020-04-15,27809.106047
2020-04-16,28875.974247
2020-04-17,30105.468807
2020-04-18,31227.19935
2020-04-19,32284.743074
2020-04-20,33026.119642000005
2020-04-21,33752.338889
2020-04-22,34464.35165
2020-04-23,35344.502068
2020-04-24,36135.917967
2020-04-25,36785.029054
2020-04-26,37425.110644
2020-04-27,37822.926752
2020-04-28,38002.261062000005
2020-04-29,38398.565873
2020-04-30,38915.440978
2020-05-01,39386.266919
2020-05-02,39836.984701
2020-05-03,40168.663152
2020-05-04,40374.997462
2020-05-05,40697.331771
2020-05-06,40931.469428
2020-05-07,41379.941395
2020-05-08,41706.285537
2020-05-09,41991.777168
2020-05-10,42235.022983999996
2020-05-11,42396.219637
2020-05-12,42592.593277
2020-05-13,42816.711268
2020-05-14,43084.134072
2020-05-15,43284.340557
2020-05-16,43479.665034000005
2020-05-17,43602.773193
2020-05-18,43750.940348000004
2020-05-19,43858.117335
2020-05-20,44038.382816
2020-05-21,44265.589301
2020-05-22,44452.746623
2020-05-23,44632.03177
2020-05-24,44788.248088
2020-05-25,44957.40541
2020-05-26,45081.641393
2020-05-27,45276.828213
2020-05-28,45463.260849
2020-05-29,45636.457501
2020-05-30,45767.683652
2020-05-31,45951.017961000005
2020-06-01,46051.096622
2020-06-02,46152.263777
2020-06-03,46241.430932
2020-06-04,46436.735744000005
2020-06-05,46643.109383999996
2020-06-06,46823.384697
2020-06-07,47059.58135
2020-06-08,47224.945156999995
2020-06-09,47391.161475
2020-06-10,47572.417124
2020-06-11,47738.692437000005
2020-06-12,47947.007082
2020-06-13,48116.282395
2020-06-14,48255.479048
