Datum,MunicipalityCode,Gemeentecode,Gemeentenaam,Provincienaam,Provinciecode,Aantal,AantalCumulatief,population,populationMunicipalityName,infectionsPerPopulation,infectionsPer1000,infectionsPer10000
2020-02-27,GM0003,3,Appingedam,Groningen,20,,0,,,,,
2020-02-27,GM0010,10,Delfzijl,Groningen,20,,0,,,,,
2020-02-27,GM0014,14,Groningen,Groningen,20,,0,234949,Groningen,0,0,0
2020-02-27,GM0024,24,Loppersum,Groningen,20,,0,,,,,
2020-02-27,GM0034,34,Almere,Flevoland,24,,0,218334,Almere,0,0,0
2020-02-27,GM0037,37,Stadskanaal,Groningen,20,,0,31881,Stadskanaal,0,0,0
2020-02-27,GM0047,47,Veendam,Groningen,20,,0,27465,Veendam,0,0,0
2020-02-27,GM0050,50,Zeewolde,Flevoland,24,,0,23464,Zeewolde,0,0,0
2020-02-27,GM0059,59,Achtkarspelen,Friesland,21,,0,27957,Achtkarspelen,0,0,0
2020-02-27,GM0060,60,Ameland,Friesland,21,,0,3749,Ameland,0,0,0
2020-02-27,GM0072,72,Harlingen,Friesland,21,,0,15922,Harlingen,0,0,0
2020-02-27,GM0074,74,Heerenveen,Friesland,21,,0,51211,Heerenveen,0,0,0
2020-02-27,GM0080,80,Leeuwarden,Friesland,21,,0,125712,Leeuwarden,0,0,0
2020-02-27,GM0085,85,Ooststellingwerf,Friesland,21,,0,25714,Ooststellingwerf,0,0,0
2020-02-27,GM0086,86,Opsterland,Friesland,21,,0,29791,Opsterland,0,0,0
2020-02-27,GM0088,88,Schiermonnikoog,Friesland,21,,0,945,Schiermonnikoog,0,0,0
2020-02-27,GM0090,90,Smallingerland,Friesland,21,,0,55798,Smallingerland,0,0,0
2020-02-27,GM0093,93,Terschelling,Friesland,21,,0,4917,Terschelling,0,0,0
2020-02-27,GM0096,96,Vlieland,Friesland,21,,0,1198,Vlieland,0,0,0
2020-02-27,GM0098,98,Weststellingwerf,Friesland,21,,0,26275,Weststellingwerf,0,0,0
2020-02-27,GM0106,106,Assen,Drenthe,22,,0,69069,Assen,0,0,0
2020-02-27,GM0109,109,Coevorden,Drenthe,22,,0,35472,Coevorden,0,0,0
2020-02-27,GM0114,114,Emmen,Drenthe,22,,0,107958,Emmen,0,0,0
