Datum,population,infectionsPer10000,AantalCumulatief,Gemeentenaam,Provincienaam
2021-04-17,234949,484.6583726681109,11387,Groningen,Groningen
2021-04-17,218334,798.1349675268167,17426,Almere,Flevoland
2021-04-17,31881,692.2618487500392,2207,Stadskanaal,Groningen
2021-04-17,27465,579.2827234662298,1591,Veendam,Groningen
2021-04-17,23464,618.3941356972383,1451,Zeewolde,Flevoland
2021-04-17,27957,689.2728118181493,1927,Achtkarspelen,Friesland
2021-04-17,3749,448.1194985329421,168,Ameland,Friesland
2021-04-17,15922,410.75241803793494,654,Harlingen,Friesland
2021-04-17,51211,439.1634609751811,2249,Heerenveen,Friesland
2021-04-17,125712,498.9977090492555,6273,Leeuwarden,Friesland
2021-04-17,25714,471.7274636384849,1213,Ooststellingwerf,Friesland
2021-04-17,29791,451.1429626397234,1344,Opsterland,Friesland
2021-04-17,945,476.19047619047615,45,Schiermonnikoog,Friesland
2021-04-17,55798,509.5164701243772,2843,Smallingerland,Friesland
2021-04-17,4917,447.427293064877,220,Terschelling,Friesland
2021-04-17,1198,392.3205342237062,47,Vlieland,Friesland
2021-04-17,26275,538.5347288296861,1415,Weststellingwerf,Friesland
2021-04-17,69069,461.56741808915723,3188,Assen,Drenthe
2021-04-17,35472,706.4727108705458,2506,Coevorden,Drenthe
2021-04-17,107958,736.1196020674706,7947,Emmen,Drenthe
2021-04-17,55964,699.3781716817954,3914,Hoogeveen,Drenthe
2021-04-17,34749,579.5850240294684,2014,Meppel,Drenthe
2021-04-17,73164,873.2436717511343,6389,Almelo,Overijssel
2021-04-17,24095,869.0599709483296,2094,Borne,Overijssel
2021-04-17,29182,664.793365773422,1940,Dalfsen,Overijssel
2021-04-17,101553,662.0188473014091,6723,Deventer,Overijssel
2021-04-17,160341,723.8946994218571,11607,Enschede,Overijssel
2021-04-17,24257,958.0739580327329,2324,Haaksbergen,Overijssel
2021-04-17,61890,805.1381483276782,4983,Hardenberg,Overijssel
2021-04-17,35998,1057.5587532640702,3807,Hellendoorn,Overijssel
2021-04-17,81531,753.9463516944475,6147,Hengelo,Overijssel
2021-04-17,54902,538.5960438599686,2957,Kampen,Overijssel
2021-04-17,23142,970.5297727076312,2246,Losser,Overijssel
2021-04-17,48199,600.0124483910455,2892,Noordoostpolder,Flevoland
2021-04-17,31781,870.9606368585003,2768,Oldenzaal,Overijssel
2021-04-17,18459,696.1373855571808,1285,Ommen,Overijssel
2021-04-17,38166,787.6120106901432,3006,Raalte,Overijssel
2021-04-17,17278,1077.0922560481538,1861,Staphorst,Overijssel
2021-04-17,21359,1160.1666744697786,2478,Tubbergen,Overijssel
2021-04-17,21507,1009.9037522667038,2172,Urk,Flevoland
2021-04-17,24677,1114.803258094582,2751,Wierden,Overijssel
2021-04-17,130943,526.0304101784747,6888,Zwolle,Overijssel
