Datum,MunicipalityCode,infectionsPer10000
2020-02-27,GM0014,0
2020-02-27,GM0034,0
2020-02-27,GM0037,0
2020-02-27,GM0047,0
2020-02-27,GM0050,0
2020-02-27,GM0059,0
2020-02-27,GM0060,0
2020-02-27,GM0072,0
2020-02-27,GM0074,0
2020-02-27,GM0080,0
2020-02-27,GM0085,0
2020-02-27,GM0086,0
2020-02-27,GM0088,0
2020-02-27,GM0090,0
2020-02-27,GM0093,0
2020-02-27,GM0096,0
2020-02-27,GM0098,0
2020-02-27,GM0106,0
2020-02-27,GM0109,0
2020-02-27,GM0114,0
2020-02-27,GM0118,0
2020-02-27,GM0119,0
2020-02-27,GM0141,0
2020-02-27,GM0147,0
2020-02-27,GM0148,0
2020-02-27,GM0150,0
2020-02-27,GM0153,0
2020-02-27,GM0158,0
2020-02-27,GM0160,0
2020-02-27,GM0163,0
2020-02-27,GM0164,0
2020-02-27,GM0166,0
2020-02-27,GM0168,0
2020-02-27,GM0171,0
2020-02-27,GM0173,0
2020-02-27,GM0175,0
2020-02-27,GM0177,0
2020-02-27,GM0180,0
2020-02-27,GM0183,0
2020-02-27,GM0184,0
2020-02-27,GM0189,0
2020-02-27,GM0193,0
2020-02-27,GM0197,0
2020-02-27,GM0200,0
2020-02-27,GM0202,0
2020-02-27,GM0203,0
2020-02-27,GM0209,0
2020-02-27,GM0213,0
2020-02-27,GM0214,0
2020-02-27,GM0216,0
2020-02-27,GM0221,0
2020-02-27,GM0222,0
2020-02-27,GM0225,0
2020-02-27,GM0226,0
2020-02-27,GM0228,0
2020-02-27,GM0230,0
2020-02-27,GM0232,0
2020-02-27,GM0233,0
2020-02-27,GM0243,0
2020-02-27,GM0244,0
2020-02-27,GM0246,0
2020-02-27,GM0252,0
2020-02-27,GM0262,0
2020-02-27,GM0263,0
2020-02-27,GM0267,0
2020-02-27,GM0268,0
2020-02-27,GM0269,0
2020-02-27,GM0273,0
2020-02-27,GM0274,0
2020-02-27,GM0275,0
2020-02-27,GM0277,0
2020-02-27,GM0279,0
2020-02-27,GM0281,0
2020-02-27,GM0285,0
2020-02-27,GM0289,0
2020-02-27,GM0293,0
2020-02-27,GM0294,0
2020-02-27,GM0296,0
2020-02-27,GM0297,0
2020-02-27,GM0299,0
2020-02-27,GM0301,0
2020-02-27,GM0302,0
2020-02-27,GM0303,0
2020-02-27,GM0307,0
2020-02-27,GM0308,0
2020-02-27,GM0310,0
2020-02-27,GM0312,0
2020-02-27,GM0313,0
2020-02-27,GM0317,0
2020-02-27,GM0321,0
2020-02-27,GM0327,0
2020-02-27,GM0331,0
2020-02-27,GM0335,0
2020-02-27,GM0339,0
2020-02-27,GM0340,0
2020-02-27,GM0342,0
2020-02-27,GM0344,0
2020-02-27,GM0345,0
2020-02-27,GM0351,0
2020-02-27,GM0352,0
2020-02-27,GM0353,0
2020-02-27,GM0355,0
2020-02-27,GM0356,0
2020-02-27,GM0358,0
2020-02-27,GM0361,0
2020-02-27,GM0362,0
2020-02-27,GM0363,0
2020-02-27,GM0370,0
2020-02-27,GM0373,0
2020-02-27,GM0375,0
2020-02-27,GM0376,0
2020-02-27,GM0377,0
2020-02-27,GM0383,0
2020-02-27,GM0384,0
2020-02-27,GM0385,0
2020-02-27,GM0388,0
2020-02-27,GM0392,0
2020-02-27,GM0394,0
2020-02-27,GM0396,0
2020-02-27,GM0397,0
2020-02-27,GM0398,0
2020-02-27,GM0399,0
2020-02-27,GM0400,0
2020-02-27,GM0402,0
2020-02-27,GM0405,0
2020-02-27,GM0406,0
2020-02-27,GM0415,0
2020-02-27,GM0416,0
2020-02-27,GM0417,0
2020-02-27,GM0420,0
2020-02-27,GM0431,0
2020-02-27,GM0432,0
2020-02-27,GM0437,0
2020-02-27,GM0439,0
2020-02-27,GM0441,0
2020-02-27,GM0448,0
2020-02-27,GM0450,0
2020-02-27,GM0451,0
2020-02-27,GM0453,0
2020-02-27,GM0457,0
2020-02-27,GM0473,0
2020-02-27,GM0479,0
2020-02-27,GM0482,0
2020-02-27,GM0484,0
2020-02-27,GM0489,0
2020-02-27,GM0498,0
2020-02-27,GM0501,0
2020-02-27,GM0502,0
2020-02-27,GM0503,0
2020-02-27,GM0505,0
2020-02-27,GM0512,0
2020-02-27,GM0513,0
2020-02-27,GM0518,0
2020-02-27,GM0523,0
2020-02-27,GM0530,0
2020-02-27,GM0531,0
2020-02-27,GM0532,0
2020-02-27,GM0534,0
2020-02-27,GM0537,0
2020-02-27,GM0542,0
2020-02-27,GM0546,0
2020-02-27,GM0547,0
2020-02-27,GM0553,0
2020-02-27,GM0556,0
2020-02-27,GM0569,0
2020-02-27,GM0575,0
2020-02-27,GM0579,0
2020-02-27,GM0589,0
2020-02-27,GM0590,0
2020-02-27,GM0597,0
2020-02-27,GM0599,0
2020-02-27,GM0603,0
2020-02-27,GM0606,0
2020-02-27,GM0610,0
2020-02-27,GM0613,0
2020-02-27,GM0614,0
2020-02-27,GM0622,0
2020-02-27,GM0626,0
2020-02-27,GM0627,0
2020-02-27,GM0629,0
2020-02-27,GM0632,0
2020-02-27,GM0637,0
2020-02-27,GM0638,0
