date,province_id,virus_particles,province,lat,lon
2027-02-21,3,0,Drenthe,52.9928,6.5642
2027-02-21,5,0,Flevoland,52.5185,5.4714
2027-02-21,2,0,Friesland,53.2012,5.7999
2027-02-21,6,0,Gelderland,51.9851,5.8987
2027-02-21,1,0,Groningen,53.2194,6.5665
2027-02-21,12,0,Limburg,50.8514,5.69
2027-02-21,11,0,Noord-Brabant,51.6978,5.3037
2027-02-21,8,0,Noord-Holland,52.3874,4.6462
2027-02-21,4,0,Overijssel,52.5168,6.083
2027-02-21,7,0,Utrecht,52.0907,5.1214
2027-02-21,10,0,Zeeland,51.4988,3.6109
2027-02-21,9,0,Zuid-Holland,52.0705,4.3007
