snapshot_id,Snapshot,Snapshot label,Age group,Percentage
1,2027-03-15,15 Mar 2027,15-24,43
1,2027-03-15,15 Mar 2027,25-39,32
1,2027-03-15,15 Mar 2027,40-54,29
1,2027-03-15,15 Mar 2027,55-69,24
1,2027-03-15,15 Mar 2027,70+,37
1,2027-03-15,15 Mar 2027,Average,29
2,2027-03-29,29 Mar 2027,15-24,45
2,2027-03-29,29 Mar 2027,25-39,34
2,2027-03-29,29 Mar 2027,40-54,31
2,2027-03-29,29 Mar 2027,55-69,26
2,2027-03-29,29 Mar 2027,70+,39
2,2027-03-29,29 Mar 2027,Average,31
3,2027-04-12,12 Apr 2027,15-24,49
3,2027-04-12,12 Apr 2027,25-39,38
3,2027-04-12,12 Apr 2027,40-54,35
3,2027-04-12,12 Apr 2027,55-69,30
3,2027-04-12,12 Apr 2027,70+,43
3,2027-04-12,12 Apr 2027,Average,35
4,2027-04-26,26 Apr 2027,15-24,58
4,2027-04-26,26 Apr 2027,25-39,47
4,2027-04-26,26 Apr 2027,40-54,44
4,2027-04-26,26 Apr 2027,55-69,39
4,2027-04-26,26 Apr 2027,70+,52
4,2027-04-26,26 Apr 2027,Average,44
