date,date_value,Month Label,Question key,Question,Answer group,Age group,Behaviour type,Percentage,Previous percentage,Percentage delta,Comparison date,Comparison label,Is first snapshot,selected_date
2027-03-15,2027-03-15,15 Mar 2027,1,Impact on Society,Agreement,All,risk_perception,79.0,79.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,1,Impact on Society,Neutral,All,risk_perception,8.0,8.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,1,Impact on Society,Disagreement,All,risk_perception,13.0,13.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,2,Neurological damage,Agreement,All,risk_perception,62.0,62.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,2,Neurological damage,Neutral,All,risk_perception,10.0,10.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,2,Neurological damage,Disagreement,All,risk_perception,28.0,28.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,3,Healthcare capacity,Agreement,All,risk_perception,73.0,73.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,3,Healthcare capacity,Neutral,All,risk_perception,9.0,9.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,3,Healthcare capacity,Disagreement,All,risk_perception,18.0,18.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,4,Impact on vulnerable groups,Agreement,All,risk_perception,54.0,54.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,4,Impact on vulnerable groups,Neutral,All,risk_perception,11.0,11.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,4,Impact on vulnerable groups,Disagreement,All,risk_perception,35.0,35.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,5,Miscarriages,Agreement,All,risk_perception,46.0,46.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,5,Miscarriages,Neutral,All,risk_perception,12.0,12.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,5,Miscarriages,Disagreement,All,risk_perception,42.0,42.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,6,Duration of current measures,Agreement,All,risk_perception,35.0,35.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,6,Duration of current measures,Neutral,All,risk_perception,12.0,12.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-15,2027-03-15,15 Mar 2027,6,Duration of current measures,Disagreement,All,risk_perception,53.0,53.0,0.0,2027-03-15,15 Mar 2027,True,2027-03-15
2027-03-29,2027-03-29,29 Mar 2027,1,Impact on Society,Agreement,All,risk_perception,77.0,79.0,-2.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,1,Impact on Society,Neutral,All,risk_perception,8.0,8.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,1,Impact on Society,Disagreement,All,risk_perception,15.0,13.0,2.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,2,Neurological damage,Agreement,All,risk_perception,64.0,62.0,2.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,2,Neurological damage,Neutral,All,risk_perception,9.0,10.0,-1.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,2,Neurological damage,Disagreement,All,risk_perception,27.0,28.0,-1.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,3,Healthcare capacity,Agreement,All,risk_perception,72.0,73.0,-1.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,3,Healthcare capacity,Neutral,All,risk_perception,9.0,9.0,0.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,3,Healthcare capacity,Disagreement,All,risk_perception,19.0,18.0,1.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,4,Impact on vulnerable groups,Agreement,All,risk_perception,57.0,54.0,3.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,4,Impact on vulnerable groups,Neutral,All,risk_perception,10.0,11.0,-1.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,4,Impact on vulnerable groups,Disagreement,All,risk_perception,33.0,35.0,-2.0,2027-03-15,15 Mar 2027,False,2027-03-29
2027-03-29,2027-03-29,29 Mar 2027,5,Miscarriages,Agreement,All,risk_perception,50.0,46.0,4.0,2027-03-15,15 Mar 2027,False,2027-03-29
