date,Trustee_id,trust,institution,date_label,date_value
2027-03-15,1,68.0,Healthcare institutions,15 Mar 2027,2027-03-15
2027-03-29,1,69.0,Healthcare institutions,29 Mar 2027,2027-03-29
2027-04-12,1,67.0,Healthcare institutions,12 Apr 2027,2027-04-12
2027-04-26,1,65.0,Healthcare institutions,26 Apr 2027,2027-04-26
2027-03-15,2,50.0,Dutch House of Representatives,15 Mar 2027,2027-03-15
2027-03-29,2,54.0,Dutch House of Representatives,29 Mar 2027,2027-03-29
2027-04-12,2,52.0,Dutch House of Representatives,12 Apr 2027,2027-04-12
2027-04-26,2,49.0,Dutch House of Representatives,26 Apr 2027,2027-04-26
2027-03-15,3,61.0,Other individuals,15 Mar 2027,2027-03-15
2027-03-29,3,62.0,Other individuals,29 Mar 2027,2027-03-29
2027-04-12,3,63.0,Other individuals,12 Apr 2027,2027-04-12
2027-04-26,3,64.0,Other individuals,26 Apr 2027,2027-04-26
2027-03-15,4,66.0,Scientific experts,15 Mar 2027,2027-03-15
2027-03-29,4,65.0,Scientific experts,29 Mar 2027,2027-03-29
2027-04-12,4,63.0,Scientific experts,12 Apr 2027,2027-04-12
2027-04-26,4,61.0,Scientific experts,26 Apr 2027,2027-04-26
