Date,international_total_cases,total_deaths
2026-12-26,1,
2026-12-27,1,
2026-12-28,1,
2026-12-29,1,
2026-12-30,1,
2026-12-31,2,
2027-01-01,2,
2027-01-02,2,
2027-01-03,2,
2027-01-04,2,
2027-01-05,2,
2027-01-06,2,
2027-01-07,2,
2027-01-08,3,
2027-01-09,4,
2027-01-10,5,
2027-01-11,6,
2027-01-12,6,
2027-01-13,7,
2027-01-14,8,
2027-01-15,10,
2027-01-16,12,
2027-01-17,14,
2027-01-18,16,
2027-01-19,22,
2027-01-20,23,
2027-01-21,24,
2027-01-22,27,
2027-01-23,28,
2027-01-24,29,
2027-01-25,30,
2027-01-26,32,
2027-01-27,32,
2027-01-28,35,
2027-01-29,40,
2027-01-30,40,
2027-01-31,44,
2027-02-01,45,
2027-02-02,47,
2027-02-03,49,
2027-02-04,50,
2027-02-05,55,
2027-02-06,60,
2027-02-07,72,
2027-02-08,80,
2027-02-09,84,
2027-02-10,86,
2027-02-11,91,
2027-02-12,95,
2027-02-13,96,
2027-02-14,96,
2027-02-15,101,
2027-02-16,102,
2027-02-17,108,
2027-02-18,111,
2027-02-19,115,
2027-02-20,120,
2027-02-21,129,
